----------------------------------------------------------------------------------------------
GENESIS
----------------------------------------------------------------------------------------------

CHAPTER 1
Ge 1:1	In da beginning, God created da heavens n da earth--
Ge 39:20	And Joey's master took him n put him into jail, da place dat da king's prisoners were confined. And he wuz there in jail.
Ge 39:21	And YHWH wuz w Joey, n showed loyal luv 2 him, n gave him favor in da eyes of da chief of da prison.
Ge 39:22	And da chief of da prison put all da prisoners dat were in da jail into da hand of Joey. And everythin’ dat wuz done there, he wuz da 1 who did it.
Ge 39:23	Da chief of da prison didn't woz 'bout anythin’ in his hand, since YHWH wuz w him. And whatever he did YHWH made it successful. 


CHAPTER 40
Ge 40:1	And it happened dat after deez tingz da cupbearer of da king of Egypt n his baker did wrong against their lord, against da king of Egypt.
Ge 40:2	And Pharaoh wuz angry w his 2 officials, w da chief cupbearer n chief baker.
Ge 40:3	And he put them in custody in da house of da chief of da guard, into da prison where Joey wuz confined.
Ge 40:4	And da chief of da guard appointed Joey 2 be w them, n he attended them. And they were in custody many days.
Ge 40:5	And da 2 of them, da cupbearer n da baker of da king of Egypt, who were confined in da jail, dreamed a dream, each his own dream, w its own interpretation.
Ge 40:6	When Joey came 2 them in da mornin’ he looked at them, n look, they were troubled.
Ge 40:7	And he asked da court officials of Pharaoh dat were w him in da custody of his master's house, "Y r yo faces sad 2day?"
Ge 40:8	And they said 2 him, "We each dreamed a dream, but there’s nobody 2 interpret it." And Joey said 2 them, "Don’t interpretations belong 2 God? Please tell them 2 me."
Ge 40:9	Then da chief cupbearer told his dream 2 Joey, n he said 2 him, "In my dream, now look, there wuz a vine b4 me,
Ge 40:10	n on da vine were 3 branches. And as it budded, its blossoms came up, n its clusters of grapes grew ripe.
Ge 40:11	And da cup of Pharaoh wuz in my hand, n i took da grapes n squeezed them into da cup of Pharaoh. Then i placed da cup into da hand of Pharaoh."
Ge 40:12	Then Joey said 2 him, "Dis is its interpretation: Da 3 branches, they’re 3 days.
Ge 40:13	In 3 days Pharaoh will lift up yo head n will restore u 2 yo office. And u will put da cup of Pharaoh into his hand as wuz formerly da custom, when u were his cupbearer.
Ge 40:14	But remember me when it goes well w u, n please may u show kindness w respeck 2 me, n mention me 2 Pharaoh, n bring me out of dis house.
Ge 40:15	Cuz i wuz ofc kidnapped from da land of da Hebrews, n here also i’ve done nothin’ dat they shud put me in dis pit."
Ge 40:16	And when da chief baker saw dat da interpretation wuz gud he said 2 Joey, "i also dreamed. In my dream, now look, there were 3 baskets of bread on my head.
Ge 40:17	And in da upper basket were all sorts of baked foods 4 Pharaoh, but da birbs were eating them out of da basket on my head."
Ge 40:18	Then Joey answered n said, "Dis is its interpretation: Da 3 baskets, they’re 3 days.
Ge 40:19	In 3 days Pharaoh will lift yo head from u n hang u on a pole, n da birbs will eat yo flesh from u."
Ge 40:20	And it happened dat on da 3rd day, which wuz Pharaoh's birthday, he made a feast 4 all his servants. And he lifted up da head of da chief cupbearer n da head of da chief baker in da midst of his servants.
Ge 40:21	And he restored da chief cupbearer 2 his cupbearing position. And he placed da cup in da hand of Pharaoh.
Ge 40:22	But da chief baker he hanged as Joey had interpreted 2 them.
Ge 40:23	But da chief cupbearer didn't remember Joey, but forgot him. 


CHAPTER 41
Ge 41:1	And it happened dat after 2 full yrs Pharaoh dreamed, n look, he wuz standing by da Nile.
Ge 41:2	And look, 7 cows, well built n fat, were comin’ up from da Nile, n they grazed among da reeds.
Ge 41:3	And look, 7 other cows came up after them from da Nile, ugly n gaunt, n they stood beside those cows on da bank of da Nile.
Ge 41:4	And da ugly n gaunt cows ate da 7 well built n fat cows. Then Pharaoh awoke.
Ge 41:5	And he fell asleep n dreamed a 2nd time, n look, 7 ears of grain, plump n gud, were comin’ out of 1 stalk.
Ge 41:6	And look, 7 thin ears of grain, scorched by da east wind, sprouted up after them.
Ge 41:7	And da thin ears of grain swallowed up da 7 plump n full ears of grain. Then Pharaoh awoke, n look, 'twas a dream.
Ge 41:8	And it happened dat in da mornin’ his spirit wuz troubled, n he sent n called all of da magicians of Egypt, n all its woke men, n Pharaoh told his dream 2 them. But they had no interpretation 4 Pharaoh.
Ge 41:9	Then da chief of da cupbearers spoke w Pharaoh, sayin’, "i remember my sins 2day.
Ge 41:10	Pharaoh wuz angry w his servants, n he put me n da chief baker in da custody of da house of da chief of da guard.
Ge 41:11	And we dreamed a dream 1 night, i n he, each w a dream dat had a meaning.
Ge 41:12	And there w us wuz a yung man, a Hebrew servant of da chief of da guard, n we told him da dream, n he interpreted our dreams 4 us, each accordin’ 2 his dream he interpreted.
Ge 41:13	And it happened just like he interpreted 2 us, so 'twas. He restored me 2 my office, n him he hanged."
Ge 41:14	Then Pharaoh sent n called 4 Joey, n they brought him quickly from da jail. And he shaved n changed his clothing, n came 2 Pharaoh.
Ge 41:15	Then Pharaoh said 2 Joey, "i dreamed a dream, but there’s none 2 interpret it. Now, i’ve heard abt u dat when u hear a dream u can interpret it."
Ge 41:16	Then Joey answered Pharaoh sayin’, "It isn’t in my power; God will answer abt da well-bein’ of Pharaoh."
Ge 41:17	And Pharaoh said 2 Joey, "Now in my dream, look, i wuz standing on da bank of da Nile,
Ge 41:18	n look, 7 cows, well built n fat, were comin’ up from da Nile, n they grazed among da reeds.
Ge 41:19	And look, 7 other cows came up after them from da Nile, very ugly n gaunt--never hav i seen any as them in all da land of Egypt 4 ugliness.
Ge 41:20	And da thin n ugly cows ate da former 7 healthy cows.
Ge 41:21	But when they went into their bellies it couldn't be known dat they went into their bellies, 4 their appearance wuz as ugly as at da beginning. Then i awoke.
Ge 41:22	Then i saw in my dream n look, 7 ears of grain were comin’ out of 1 stalk, full n gud.
Ge 41:23	And look, 7 withered ears of grain, thin n scorched by da east wind, sprouted up after them.
Ge 41:24	And da thin ears of grain swallowed up da 7 gud ears of grain. And i told da magicians, but there wuz none 2 explain it 2 me."
Ge 41:25	Then Joey said 2 Pharaoh, "Da dreams of Pharaoh r 1. God haz revealed 2 Pharaoh wut he’s 'bout 2 do.
Ge 41:26	Da 7 gud cows, they’re 7 yrs, n da 7 gud ears of grain, they’re 7 yrs. Da dreams r 1.
Ge 41:27	And da 7 thin n ugly cows comin’ up after them, they’re 7 yrs, n da 7 empty ears of grain, scorched by da east wind, they’re also 7 yrs of famine.
Ge 41:28	Dis is da word dat i’ve spoken 2 Pharaoh; God haz shown Pharaoh wut he’s 'bout 2 do.
Ge 41:29	Look, 7 yrs of great abundance r comin’ throughout da whole land of Egypt.
Ge 41:30	Then 7 yrs of famine will arise after them, n all da abundance in da land of Egypt gonna be forgotten. Da famine will consume da land.
Ge 41:31	Abundance in da land won’t be known cuz of da famine dat follows, 4 it gonna be heavy af.
Ge 41:32	Now abt da repetition of da dream twice 2 Pharaoh, it’s cuz da matter is established by God, n God will do it quickly.
Ge 41:33	Now then, let Pharaoh select a man who is discerning n woke, n let him set him over da land of Egypt.
Ge 41:34	Let Pharaoh do dis, n let him appoint supervisors over da land, n let him take 1-5th from da land of Egypt in da 7 yrs of abundance.
Ge 41:35	Then let them gather all da food of deez comin’ gud yrs n let them pile up grain under da hand of Pharaoh 4 food in da cities, n let them keep it.
Ge 41:36	Then da food will be as a deposit 4 da land 4 da 7 yrs of da famine dat gonna be in da land of Egypt, dat da land won’t die on account of da famine." 

Ge 41:37	And da plan wuz gud in da eyes of Pharaoh n in da eyes of all his servants.
Ge 41:38	Then Pharaoh said 2 his servants, "Can we find a man like dis in whom is da spirit of God?"
Ge 41:39	Then Pharaoh said 2 Joey, "Since God haz made all of dis known 2 u there’s nobody as discerning n woke as u.
Ge 41:40	U will be over my house, n 2 yo word all my ppl will submit. Only w respeck 2 da throne will i be better than u."
Ge 41:41	Then Pharaoh said 2 Joey, "C, i’ve set u over all da land of Egypt."
Ge 41:42	Then Pharaoh removed his signet ring from his finger n put it on da finger of Joey. And he clothed him w garments of fine linen, n he put a chain of gold around his neck.
Ge 41:43	And he had him ride in his 2nd chariot. And they cried out b4 him, "Kneel!" And Pharaoh set him over all da land of Egypt.
Ge 41:44	Then Pharaoh said 2 Joey, "im Pharaoh, but without yo consent nobody will lift his hand or his foot in all da land of Egypt."
Ge 41:45	And Pharaoh called da name of Joey Zaphenath-paneah n gave him Asenath, da daughter of Potiphera, priest of On, as a wife. And Joey went out over da land of Egypt.
Ge 41:46	Now Joey wuz thirty yrs old when he stood b4 Pharaoh, da king of Egypt. And Joey went out from da presence of Pharaoh n traveled thru da whole land of Egypt.
Ge 41:47	And da land produced a plenty in da 7 yrs of abundance.
Ge 41:48	And he gathered all da food of da 7 yrs which occurred in da land of Egypt. And he stored da food in da cities. Da food of da field dat surrounded each city he stored in its midst.
Ge 41:49	And Joey piled up grain like da sand of da sea in great abundance until he stopped counting it, 4 it couldn't be counted.
Ge 41:50	B4 da yrs of famine came, Asenath, daughter of Potiphera priest of On, bore 2 sons 2 him.
Ge 41:51	And Joey called da name of da firstborn Manasseh, 4 he said, "God haz caused me 2 forget all my hardship n all my dad's house."
Ge 41:52	And da name of da 2nd he called Ephraim, 4 he said, "God haz made me fruitful in da land of my misfortune."
Ge 41:53	And da 7 yrs of abundance which were in da land of Egypt came 2 an end.
Ge 41:54	And da 7 yrs of famine began 2 come as Joey had said. And there wuz famine in all of da countries, but in da land of Egypt there wuz food.
Ge 41:55	And when all da land of Egypt wuz hungry da ppl cried out 2 Pharaoh 4 food. And Pharaoh said 2 all da land of Egypt, "Go 2 Joey; wut he says 2 u, u must do."
Ge 41:56	And da famine wuz over da whole land, n Joey opened all da storehouses n sold food 2 da Egyptians. And da famine wuz severe in da land of Egypt.
Ge 41:57	And every land came 2 Egypt 2 Joey 2 buy grain, 4 da famine wuz severe in every land. 


CHAPTER 42
Ge 42:1	When Jake realized dat there wuz grain in Egypt, Jake said 2 his sons, "Y do u look at 1 anotha?"
Ge 42:2	Then he said, "Look, i’ve heard dat there’s grain in Egypt. Go down there n buy grain 4 us there dat we may live n not die."
Ge 42:3	And da 10 bros of Joey went down 2 buy grain from Egypt.
Ge 42:4	But Jake didn't send Ben, da bro of Joey, 4 he feared harm would come 2 him.
Ge 42:5	Then da sons of Israel went 2 buy grain amid those other ppl who went as well, 4 there wuz famine in da land of Canaan.
Ge 42:6	Now Joey wuz da governor over da land. He wuz da 1 who sold food 2 all da ppl of da land. And da bros of Joey came n bowed down 2 him w their faces 2 da ground.
Ge 42:7	And Joey saw his bros n recognized them, but he pretended 2 be a stranger 2 them. And he spoke w them harshly n said 2 them, "From where hav u come?" And they said, "From da land of Canaan 2 buy food."
Ge 42:8	And Joey recognized his bros, but they didn't recognize him.
Ge 42:9	And Joey remembered da dreams which he had dreamed abt them, n he said 2 them, "U r spies! U hav come 2 c da nakedness of da land!"
Ge 42:10	And they said 2 him, "No, my lord, but yo servants hav come 2 buy food.
Ge 42:11	We all r sons of 1 man. We r honest men. We, yo servants, aren’t spies."
Ge 42:12	Then he said 2 them, "No, but u hav come 2 c da nakedness of da land."
Ge 42:13	Then they said, "We, yo servants, r 12 bros, da sons of 1 man in da land of Canaan, but look, da youngest is w our dad 2day, n 1 is no more."
Ge 42:14	But Joey said 2 them, "It’s wut i said 2 u--u r spies.
Ge 42:15	By dis u will be tested. By da lyf of Pharaoh u won’t go out from here unless yo youngest bro comes here.
Ge 42:16	Send 1 of u, n let him bring yo bro, but u gonna be kept in prison so dat yo words might be tested 2 c if there’s truth w u. And if not, by da lyf of Pharaoh ofc u r spies."
Ge 42:17	Then he gathered them into da prison 4 3 days.
Ge 42:18	On da 3rd day Joey said 2 them, "Do dis n u will live; i fear God.
Ge 42:19	If u r honest, let 1 of yo bros be kept in prison where u r now bein’ kept, but da rest of u go, carry grain 4 da famine 4 yo households.
Ge 42:20	U must bring yo youngest bro 2 me, n then yo words gonna be confirmed n u won’t die." And they did so.
Ge 42:21	Then each said 2 his bro, "Ofc we're guilty on account of our bro when we saw da anguish of his soul when he pleaded 4 mercy 2 us n we’d not listen. So dis trouble haz come 2 us."
Ge 42:22	Then Reuben answered them, sayin’, "Did i not tell u, don’t sin against da boi? But u didn't listen, n now, look, his blood haz been sought."
Ge 42:23	Now they didn't kno dat Joey understood, 4 da interpreter wuz between them.
Ge 42:24	And he turned away from them n cried. Then he returned 2 them n spoke 2 them, n took Simeon from them n tied him up in front of them.
Ge 42:25	Then Joey gave orders 2 fill their bags w grain n 2 return their money 2 each sack, n 2 give them provisions 4 da journey. So he did 4 them.
Ge 42:26	Then they loaded their grain on their donkeys n went away from there.
Ge 42:27	And 1 of them later opened his sack 2 give fodder 2 his donkey at da lodging place n saw his money--look, 'twas in da mouth of his sack.
Ge 42:28	And he said 2 his bros, "My money wuz returned n moreover, look, it’s in my sack!" Then their hearts failed them n each of them trembled n said, "Wut is dis God haz done 2 us?" 

Ge 42:29	And when they came 2 Jake their dad in da land of Canaan they told him everythin’ dat had happened 2 them, sayin’,
Ge 42:30	"Da man, da lord of da land, spoke harshly 2 us n treated us as if we were spying out da land.
Ge 42:31	But we said 2 him, 'We r honest; we aren’t spies.
Ge 42:32	We r 12 bros, da sons of our dad. 1 is no more n da youngest is w our dad now in da land of Canaan.'
Ge 42:33	Then da man, da lord of da land, said 2 us, 'By dis i’ll kno dat u r honest. Leave 1 bro w me, n take food 4 da famine in yo households n go.
Ge 42:34	And bring yo youngest bro 2 me. Then i’ll kno dat u aren’t spies but u r honest. And i’ll give yo bro back 2 u, n u will trade in da land.'"
Ge 42:35	And it happened dat when they emptied their sacks, look, each 1's pouch of money wuz in his sack. And when they n their dad saw da pouches of their money, they were greatly distressed.
Ge 42:36	And Jake their dad said 2 them, "U hav bereaved me--Joey is no more n Simeon is no more, n Ben u would take! All of dis is against me!
Ge 42:37	Then Reuben said 2 his dad, "U may kill my 2 sons if i don’t bring him back 2 u. Put him in my hand n i myself will return him 2 u."
Ge 42:38	But he said, "My son will not go down w u, 4 his bro is ded n he alone remains. If harm meets him on da journey dat u would take, u would bring down my gray head in sadness 2 Sheol." 


CHAPTER 43
Ge 43:1	Now da famine in da land wuz severe.
Ge 43:2	And it happened dat as they finished eating da grain which they had brought from Egypt their dad said 2 them, "Return n buy a lil’ food 4 us."
Ge 43:3	Then Judah said 2 him, "Da man solemnly admonished us, sayin’, 'U will not c my face unless yo bro is w u.'
Ge 43:4	If u will send our bro w us, we'll go down n buy food 4 u,
Ge 43:5	but if u won’t send him, we'll not go down, 4 da man said 2 us, 'U will not c my face unless yo bro is w u.'"
Ge 43:6	Then Israel said, "Y did u bring trouble 2 me by telling da man u still had a bro?"
Ge 43:7	And they said, "Da man asked explicitly 'bout us n 'bout our fam, sayin’, 'Is yo dad still alive? Do u hav a bro?' And we answered him accordin’ 2 deez words. How could we kno dat he’d say, 'Bring down yo bro'?"
Ge 43:8	Then Judah said 2 his dad Israel, "Send da boi w me, n let’s arise n go, so dat we'll live n not die--u, we, n our kids.
Ge 43:9	i myself gonna be surety 4 him. U may seek him from my hand. If i don’t bring him back 2 u n present him b4 u, then i’ll stand guilty b4 u 4ever.
Ge 43:10	Ofc if we hadn't hesitated by dis time we’d hav returned twice."
Ge 43:11	Then their dad Israel said 2 them, "If it gotta be so then do dis. Take some of da best products of da land in yo bags n take them down 2 da man as a gift--a lil’ balm n honey, aromatic gum n myrrh, n pistachios n almonds.
Ge 43:12	And take double da money in yo hands. Take back da money dat wuz returned in da mouth of yo sacks. Maybe 'twas a mistake.
Ge 43:13	And take yo bro. Now arise n return 2 da man.
Ge 43:14	And may El-Shaddai grant u compassion b4 da man dat he may release yo other bro 2 u n Ben. As 4 me, if im bereaved, im bereaved." 

Ge 43:15	So da men took dis gift, n they took double money in their hands, n Ben, n they rose up n went down 2 Egypt n stood b4 Joey.
Ge 43:16	When Joey saw Ben w them he said 2 da 1 who wuz over his household, "Bring da men into da house n slaughter n prepare an animal, 4 da men will eat w me at noon."
Ge 43:17	And da man did as Joey had said, n da man brought da men into da house of Joey.
Ge 43:18	And da men were afraid when they were brought into da house of Joey. And they said "We were brought here on account of da money dat wuz returned 2 our sacks da 1st time, dat he might attacc us n fall on us 2 take us as slaves w our donkeys."
Ge 43:19	So they approached da man who wuz over Joey's house n spoke 2 him at da doorway of da house.
Ge 43:20	And they said, "Please, my lord, we ofc came down once b4 2 buy food,
Ge 43:21	but when we came 2 da place of lodging n we opened our sacks, then look, each 1's money wuz in da mouth of his sack--our money in its full weight--so we've returned w it in our hands.
Ge 43:22	Now, other money we've brought down in our hand 2 buy food. We dunno who put our money in our sacks."
Ge 43:23	And he said, "Pce 2 u; don’t be afraid. Yo God n da God of yo dad must hav given u a treasure in yo sacks; yo money came 2 me." And he brought Simeon out 2 them.
Ge 43:24	Then da man brought da men into Joey's house n he gave them water n washed their feet, n gave fodder 2 their donkeys.
Ge 43:25	Then they laid out da gift until Joey came at noon, 4 they had heard dat they were 2 eat food there.
Ge 43:26	And when Joey came into da house they brought da gift dat wuz in their hand into da house 2 him, n they bowed down b4 him 2 da ground.
Ge 43:27	And he greeted them n said, "Is yo dad well, da old man of whom u spoke? Is he still alive?"
Ge 43:28	And they said, "Yo servant our dad is well; he’s still alive." And they knelt n bowed down.
Ge 43:29	Then he lifted up his eyes n saw Ben his bro, da son of his mom, n said, "Is dis yo youngest bro of whom u told me?" And he continued, "God be gracious 2 u, my son."
Ge 43:30	Then Joey hurried away, bein’ overcome w emotion toward his bro, n sought 4 a place 2 cri. Then he went into a room n cried there.
Ge 43:31	Then he washed his face n went out, now controlling himself, n said, "Serve da food."
Ge 43:32	And they served him by himself, n them by themselves, n da Egyptians who were eating w him by themselves, 4 Egyptians couldn't dine w Hebrews, cuz dat wuz a detestable thang 2 Egyptians.
Ge 43:33	And they were seated b4 him from da firstborn accordin’ 2 his birthright 2 da youngest accordin’ 2 his youth. And da men looked at 1 anotha amazed.
Ge 43:34	And portions were served 2 them from his table, n da portion of Ben wuz 5 times better than da portion of any of them. And they drank n became drunk w him. 


CHAPTER 44
Ge 44:1	Then he commanded da 1 who wuz over his household, sayin’, "Fill da sacks of da men w food as much as they’re able 2 carry, n put each 1's money in da mouth of his sack.
Ge 44:2	And my cup--da cup of silver--u will put into da mouth of da sack of da youngest, n da money 4 his grain. And he did accordin’ 2 da word of Joey dat he had commanded.
Ge 44:3	When da mornin’ light came da men were sent away, they n their donkeys.
Ge 44:4	They went out of da city, n hadn't gone far when Joey said 2 da 1 who wuz over his house, "Arise! Pursue after da men n overtake them. Then u will tell them, 'Y hav u repaid bad 4 gud?
Ge 44:5	Is dis not dat from which my master drinks? Now he himself totally practices divination w it. U hav done bad in wut u hav done.'"
Ge 44:6	When he overtook them he spoke deez words 2 them.
Ge 44:7	And they said 2 him, "Y haz my lord spoken accordin’ 2 deez words? Far be it from yo servants 2 do such a thang!
Ge 44:8	Look, da money dat we found in da mouth of our sacks we returned 2 u from da land of Canaan. Now y would we steal silver or gold from da house of my lord?
Ge 44:9	Whoever is found w it from among yo servants will die. And moreover, we'll become slaves 2 my lord."
Ge 44:10	Then he said, "Now also accordin’ 2 yo words, so will it be. He who is found w it’ll be my slave, but u will be innocent."
Ge 44:11	Then each man quickly brought down his sack 2 da ground, n each 1 opened his sack.
Ge 44:12	And he searched, beginning w da oldest n finishing w da youngest. And da cup wuz found in da sack of Ben.
Ge 44:13	Then they tore their clothes, n each 1 loaded his donkey n they returned 2 da city. 

Ge 44:14	And Judah n his bros came 2 da house of Joey--now he wuz still there--they fell b4 him 2 da ground.
Ge 44:15	Then Joey said 2 them, "Wut is dis deed dat u hav done? Did u not kno dat a man who is like me ofc practices divination?"
Ge 44:16	And Judah said, "Wut can we tell my lord? Wut can we talk? Now how can we show ourselves innocent? God haz found da guilt of yo servants! Look, we're slaves 2 my lord, both we n also he in whose hand da cup wuz found."
Ge 44:17	But he said, "Far be it from me 2 do dis! Da man in whose hand da cup wuz found, he’ll become my slave. But as 4 u, go up in pce 2 yo dad."
Ge 44:18	But Judah drew near 2 him n said, "Please my lord, let yo servant talk a word in da ears of my lord, n let not yo anger burn against yo servant, 4 u r like Pharaoh himself.
Ge 44:19	My lord had asked his servants, sayin’, 'Do u hav a dad or a bro?'
Ge 44:20	And we said 2 my lord, 'We hav an aged dad, n a younger bro, da kid of his old age, n his bro died, n he alone remains from his mom, n his dad luvs him.'
Ge 44:21	Then u said 2 yo servants, 'Bring him down 2 me dat i may set my eyes on him.'
Ge 44:22	Then we said 2 my lord, 'Da boi can’t leave his dad; if he shud leave his dad, then he’d die.'
Ge 44:23	Then u said 2 yo servants, 'Unless yo youngest bro comes down w u, u will not again c my face.'
Ge 44:24	And it happened dat we went up 2 yo servant, my dad, n told him da words of my lord.
Ge 44:25	And when our dad said, 'Buy a lil’ food 4 us,'
Ge 44:26	then we said, 'We can’t go down. If our youngest bro is w us, then we will go down. Cuz we'll not be able 2 c da face of da man unless our youngest bro is w us.'
Ge 44:27	Then yo servant, my dad, said 2 us, 'U yoselves kno dat my wife bore 2 sons 2 me.
Ge 44:28	1 went out from me, n i said, "Ofc he must hav been torn 2 pieces," n i’ve never seen him since.
Ge 44:29	And if u take dis 1 also from me, n he encounters harm, u will bring down my gray head in sadness 2 Sheol.'
Ge 44:30	So now, when i come 2 yo servant, my dad, n da boi isn’t w us--now his lyf is bound up w his lyf--
Ge 44:31	it’ll happen dat when he sees dat da boi is gone, he’ll die. And yo servants will bring down da gray head of yo servant, our dad, 2 Sheol w sadness.
Ge 44:32	Cuz yo servant is pledged as surety 4 da boi by my dad, sayin’, If i don’t bring him 2 u, then i’ll be culpable 2 my dad 4ever.
Ge 44:33	So then, please let yo servant remain in place of da boi as a slave 2 my lord, n let da boi go up w his bros.
Ge 44:34	Cuz how can i go up 2 my dad if da boi isn’t w me? i don’t wanna c da misery which will find my dad." 


CHAPTER 45
Ge 45:1	Then Joey wasn’t able 2 control himself b4 all who were standing by him. And he cried out, "Make every man go out from me!" So nobody stood w him when Joey made himself known 2 his bros.
Ge 45:2	And he cried loudly, so dat da Egyptians heard it n da household of Pharaoh heard it.
Ge 45:3	Then Joey said 2 his bros, "im Joey! Is my dad still alive?" And his bros were unable 2 answer him, 4 they were dismayed at his presence.
Ge 45:4	So Joey said 2 his bros, "Come near 2 me, please." And they drew near. And he said, "im Joey, yo bro, whom u sold into Egypt.
Ge 45:5	So now, don’t be distressed n don’t be angry w yoselves dat u sold me here, 4 God sent me as deliverance b4 u.
Ge 45:6	Cuz deez 2 yrs da famine haz been in da midst of da land, but there gonna be 5 more yrs where there’s no plowing or harvest.
Ge 45:7	And God sent me b4 u all 2 preserve 4 u a remnant in da land n 2 keep alive among u many survivors.
Ge 45:8	So now, u yoselves didn't send me here, but God put me here as dad 2 Pharaoh n as master of all his household, n a ruler over all da land of Egypt.
Ge 45:9	Hurry, n go up 2 my dad n tell him, 'So says yo son Joey, God haz made me lord of all Egypt. Come down 2 me n don’t delay.
Ge 45:10	U will settle in da land of Goshen so dat u gonna be near me, u n yo kids n yo grandchildren, n yo flocks n yo herds n all dat u hav.
Ge 45:11	And i’ll provide 4 u there, cuz there r still 5 yrs of famine--lest u n yo household n all dat u hav become destitute.'
Ge 45:12	Now look, yo eyes c, n da eyes of my bro Ben c, dat it’s i who am talkin’ 2 u.
Ge 45:13	And u must tell my dad of all my honor in Egypt n all dat u hav seen. Now hurry n bring my dad here."
Ge 45:14	Then he fell on da neck of his bro Ben n cried, n Ben cried on his neck.
Ge 45:15	And he kissed all his bros n cried on them. And afterward his bros spoke w him.
Ge 45:16	Then da report wuz heard in da house of Pharaoh, sayin’, "Joey's bros hav come." And it pleased Pharaoh n his servants.
Ge 45:17	Then Pharaoh said 2 Joey, "Say 2 yo bros: 'Do dis--load yo donkeys n go back 2 da land of Canaan,
Ge 45:18	n take yo dad n yo households n come 2 me, n i’ll give u da best of da land of Egypt, n u will eat da fat of da land.'
Ge 45:19	And u Joey, r commanded 2 say dis: 'Do dis! Take wagons from da land of Egypt 4 yo lil’ ones n yo wives, n bring yo dad n come!
Ge 45:20	Don’t woz 'bout yo possessions, 4 da best of all da land of Egypt is urs.'" 

Ge 45:21	And da sons of Israel did so. And Joey gave them wagons at da word of Pharaoh, n gave them provisions 4 da journey.
Ge 45:22	2 each n 2 all of them he gave sets of clothing, but 2 Ben he gave 3 hundred pieces of silver n 5 sets of clothing.
Ge 45:23	And 2 his dad he sent as follows: 10 donkeys carrying da best of Egypt, n 10 donkeys carrying grain n food n provisions 4 his dad 4 da journey.
Ge 45:24	Then he sent his bros away, n when they departed he said 2 them, "Don’t be agitated on da journey."
Ge 45:25	So they went up from Egypt n came 2 da land of Canaan 2 Jake their dad.
Ge 45:26	And they spoke 2 him, sayin’, "Joey is still alive, n he’s ruler over all da land of Egypt." And his heart went numb, cuz he didn't believe him.
Ge 45:27	Then they told him all da words of Joey dat he had spoken 2 them. And when he saw da wagons dat Joey had sent 2 carry him, then da spirit of Jake their dad revived.
Ge 45:28	And Israel said, "It’s enough. Joey my son is still alive. i’ll go n c him b4 i die." 


CHAPTER 46
Ge 46:1	So Israel journeyed w all dat he had, n he came 2 Beersheba n offered sacrifices 2 da God of his dad, Isaac.
Ge 46:2	And God spoke 2 Israel in visions of da night n said, "Jake, Jake." And he said, "Here im."
Ge 46:3	Then he said, "im da God of yo dad. Don’t be afraid 2 go down 2 Egypt, cuz i’ll make u a great nation there.
Ge 46:4	i myself will go down w u 2 Egypt, n i myself will also bring u up. And Joey will place his hand over yo eyes."
Ge 46:5	So Jake arose from Beersheba. And da sons of Israel carried their dad Jake, n their lil’ ones n their wives in da wagons Pharaoh had sent 2 transport him.
Ge 46:6	And they took their livestock n their possessions dat they had acquired in da land of Canaan. And they came 2 Egypt, Jake n all his offspring w him,
Ge 46:7	his sons n his sons' sons w him, his daughters n his daughters' daughters w him, into Egypt. 

Ge 46:8	Now deez r da names of da sons of Israel, who came into Egypt, Jake n his sons. Reuben, da firstborn of Jake
Ge 46:9	n da sons of Reuben: Enoch, Pallu, Hezron, n Carmi.
Ge 46:10	Da sons of Simeon: Jemuel, Jamin, Ohad, Jakin, Zohar, n Shaul, da son of a Canaanite woman.
Ge 46:11	Da sons of Levi: Gershon, Kohath, n Merari.
Ge 46:12	Da sons of Judah: Er, Onan, Shelah, Perez, n Zerah (but Er n Onan died in da land of Canaan). And da sons of Perez were Hezron n Hamul.
Ge 46:13	Da sons of Issachar: Tolah, Puvah, Iob, n Shimron.
Ge 46:14	Da sons of Zebulun: Sered, Elon, n Jahleel.
Ge 46:15	Deez r da sons of Leah dat she bore 2 Jake in Paddan-Aram, n Dinah his daughter. His sons n daughters were thirty-3 persons in all.
Ge 46:16	Da sons of Gad: Ziphion, Haggi, Shuni, Ezbon, Eri, Arodi, n Areli.
Ge 46:17	Da sons of Asher: Imnah, Ishvah, Ishvi, n Beriah, n their sister Serah. And da sons of Beriah: Heber n Malkiel.
Ge 46:18	There r da sons of Zilpah, whom Laban gave 2 Leah his daughter, n she bore deez 2 Jake--16 persons.
Ge 46:19	Da sons of Rachel, Jake's wife: Joey n Ben.
Ge 46:20	And Ephraim n Manasseh, whom Asenath, daughter of Potiphera, priest of On bore 2 him, were born 2 Joey in da land of Egypt.
Ge 46:21	Da sons of Ben: Bela, Beker, Ashbel, Gera, Naaman, Ehi, Rosh, Muppim, Huppim, n Ard.
Ge 46:22	Deez r da sons of Rachel who were born 2 Jake--14 persons in all.
Ge 46:23	Da sons of Dan: Hushim.
Ge 46:24	Da sons of Naphtali: Jahzeel, Guni, Jezer, n Shillem.
Ge 46:25	Deez r da sons of Bilhah whom Laban gave 2 Rachel his daughter, n she bore deez 2 Jake--7 persons in all.
Ge 46:26	All da persons belonging 2 Jake who came 2 Egypt who were his descendants, not including da wives of da sons of Jake were sixty-6 persons in all.
